full_text,retweet_count,user_followers_count,favorite_count,place,coordinates,geo,created_at,id_str
"Title:Covid-19 vaccine mandate turned into the bitcoin-based crowdfunding platform
Link:https://t.co/zyXn2P1TIs… https://t.co/EdNmLqNnCP",0,1,0,,,,Mon Feb 07 09:12:00 +0000 2022,1490614311789768704
"@Mervino111 Need more staff for one, been having delay issues since before Covid. Actually listen to the player bas… https://t.co/afdAYeo0Xg",0,49,0,,,,Mon Feb 07 09:12:00 +0000 2022,1490614311894536194
"RT @1BayCityRollers: Then why are  so the  called “free” COVID-19 tests that we paid $1.2 billion for @POTUS made in China? 🤦‍♂️
And How ab…",0,213,0,,,,Mon Feb 07 09:12:00 +0000 2022,1490614312175476739
@kellywind @JevensenJevy @Gab_H_R @aleksj Many Danes are telling me that all the COVID deaths are with COVID &amp; the… https://t.co/vSxXQoq8gD,0,144,0,,,,Mon Feb 07 09:12:01 +0000 2022,1490614312708173827
Pakistani #students will be arranged to return to China and resume classes in a prudent manner while ensuring safet… https://t.co/qyloLpuSNT,0,41894,0,,,,Mon Feb 07 09:12:00 +0000 2022,1490614312305528834
Covid: Plan to tackle England's NHS backlog delayed https://t.co/ZgStjfY01T,0,37,0,,,,Mon Feb 07 09:12:01 +0000 2022,1490614313337434115
这帮孙子啊,0,1508,0,,,,Mon Feb 07 09:12:01 +0000 2022,1490614313383387141
"RT @Muhamme60209919: Covid zulmüne karşı İtalyanlar dün akşam Roma'ya akın etti
 
Türkiyede de olması gereken. https://t.co/aqozMhkrr6",0,1271,0,,,,Mon Feb 07 09:12:01 +0000 2022,1490614313605812228
RT @Libre_Insolent: 🔴 #Taubira c’est un peu le Covid de la politique : 3ème vague https://t.co/Id9ZwDMJsQ,0,378,0,,,,Mon Feb 07 09:12:01 +0000 2022,1490614314054692864
"RT @jolingkent: Team USA mens skater Vincent Zhou has tested positive for COVID per @USFigureSkating’s Michael Terry. 

“Zhou is undergoing…",0,10,0,,,,Mon Feb 07 09:12:01 +0000 2022,1490614314734166017
Perfect idee hoor @GommersDiederik ‘laat kwetsbaren zichzelf beter beschermen’… 😒 DAT LUKT DUS NIET! Zeker als de z… https://t.co/5zBDky3EmQ,0,1073,0,,,,Mon Feb 07 09:12:01 +0000 2022,1490614314960670723
le covid n’existe pas,0,927,0,,,,Mon Feb 07 09:12:01 +0000 2022,1490614315593961476
@VeronicaPrice_ Right above your tweet. https://t.co/LWzjsTRNCP,0,35,0,,,,Mon Feb 07 09:12:01 +0000 2022,1490614316432773121
Buahahahahahahahahahahahaha.,0,49641,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614316634046464
RT @FlukeiS: เด็กโดนน้ำร้อนลวกตรงอกกับท้อง  ไม่มารพ แต่ไปหาหมอเป่า มาด้วยแผลติดเชื้อ ไม่พอหมอเป่าดันเป็น COVID อีก อหหหห สงสารเด็ก,0,438,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614316793434112
RT @Ying_Med: วันนี้ครบรอบ 2 ปี การจากไปของ คุณหมอหลี่ นายแพทย์ชาวจีน ซึ่งเป็นคนแรกที่ออกมาเตือนอันตรายและการแพร่ระบาดของไวรัสCovid-19 แต่ก…,0,132,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614316927647746
Business Big News : Northern Arc Capital Syndicates €10 Mn Debt Facility For Fusion Microfinance  #businessbignews… https://t.co/ggg0oCNxPV,0,6,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614317045198850
RT @msm_monitor: The only branch of the BBC to routinely politicise the NHS is BBC Scotland. The BBC doesn't do this in England and Wales.…,0,237,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614317934333956
RT @Ying_Med: วันนี้ครบรอบ 2 ปี การจากไปของ คุณหมอหลี่ นายแพทย์ชาวจีน ซึ่งเป็นคนแรกที่ออกมาเตือนอันตรายและการแพร่ระบาดของไวรัสCovid-19 แต่ก…,0,45,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614318089777156
"RT @abu_waras: VIRAL! Diduga punya Niat Jahat agar Pandemi Covid Tidak Selesai di Indonesia, @jokowi Diduga Akan Terus Menciptakan Kerumuna…",0,353,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614317892341760
RT @fatmaaksal: Cumhurbaşkanımız Sayın @RTErdogan ve Kıymetli Hanımefendi Sayın @EmineErdogan ‘a acil şifalar diliyorum. Dualarımız sizinle…,0,798,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614318093717505
RT @Tim_Roehn: Diese Aussage ist durch den Artikel nicht gedeckt.,0,918,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614318429536260
"RT @excel_adicto: 🌹Los votantes socialistas serían los mas proclives a hacer la vacunación contra el coronavirus obligatoria (61,6%).

❌💉Lo…",0,510,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614318769004545
"COVID Cases Never Really Told Us Much, But This Brilliant Summary Shows Where We Are Today https://t.co/7SRkGNWnWN",0,549,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614318777438213
"RT @drfahrettinkoca: Covid-19'la mücadele kapsamında, ikinci doz aşılamada Mavi kategoriye geçen Van'da, ekiplerimiz ağır kış şartlarına ra…",0,85,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614318999736326
"RT @unwomenTL: Despite significant strides in enhancing women’s role in leadership, there remains barriers limiting their participation. UN…",0,403,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614319075057666
RT @wenmonterrosa: Pediatras confirmaron a Voz Pública el colapso de casos de covid-19 en el hospital Bloom y el estado de gravedad de cinc…,0,378,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614318953603073
"@LorcaFina @change_es Ya he firmado compañera, pero me da miedo que la ultraderecha utilice esa investigación para… https://t.co/UnTDoCBvab",0,1534,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614319171649536
"uz nepoznam, jestli mam po 80. anginu nebo covid",0,72,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614319473692680
"RT @RaquelBlascoR: Y #Ómicron se encontró con #Gibraltar que tiene al 99% de su población vacunada y...
NO HA PRESENTADO NI UNA MUERTE por…",0,6,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614319469379585
"RT @JamesAnarchist: The fuck it does, you stupid dumb son of a bitch. I hope who ever wrote this article and this tweet get covid",0,2628,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614319700131847
@kathval https://t.co/T2aX4ZX22O,0,254,0,,,,Mon Feb 07 09:12:02 +0000 2022,1490614319951843330
Thousands of Canadians continue to protest Covid-19 restrictions as officials announce multiple arrests https://t.co/Z8gRU5Oynh,0,54,0,,,,Mon Feb 07 09:12:03 +0000 2022,1490614320899805184
👇👇👇,0,378,0,,,,Mon Feb 07 09:12:03 +0000 2022,1490614320996274177
"Comme la synchronisation de la communication et des décisions prises partout dans le monde, concernant le Covid, le… https://t.co/vtG2BvG0RW",0,2113,0,,,,Mon Feb 07 09:12:03 +0000 2022,1490614321474424835
"RT @nizambakeri: Context matters. We are in a better position now. Keep calm, adhere the SOPs, and take the booster shots if you could.",0,437,0,,,,Mon Feb 07 09:12:03 +0000 2022,1490614322015633410
Ειδική άδεια ασθένειας εργαζομένων λόγω νοσησης από τον covid-19: Χορηγείται από 24/1/2022 και έως 15/4/2022… https://t.co/LWKEDoAyBg,0,3789,0,,,,Mon Feb 07 09:12:03 +0000 2022,1490614322187280390
RT @acechhh: this is still the most powerful covid tweet https://t.co/9zhWXykH4h,0,1024,0,,,,Mon Feb 07 09:12:03 +0000 2022,1490614322652872704
RT @TigressEllie: Covid is a vascular/endothelial disease many people are going to have regrets over years to come.,0,604,0,,,,Mon Feb 07 09:12:03 +0000 2022,1490614323160440832
@CNN BREAKING NEWS: While the UK Government &amp; Media Were Pumping-Out A Narrative That Most People Who Became Infect… https://t.co/2byhZng3J8,0,18,0,,,,Mon Feb 07 09:12:03 +0000 2022,1490614323252764674
"RT @Jimenezlessons3: Los q te previenen sobre el aumento del nivel del mar compran propiedades en la playa

Aquellos q te previenen sobre e…",0,1310,0,,,,Mon Feb 07 09:12:03 +0000 2022,1490614323890335745
"RT @TheQuint: BREAKING | Legendary singer #LataMangeshkar passes away at the age of 92.
https://t.co/ENGO8QAhK8",0,95,0,,,,Mon Feb 07 09:12:03 +0000 2022,1490614324175388673
RİZE'DE OPERATÖRLER COVİD'E YAKALANINDA  İŞ BAŞKANA DÜŞTÜ https://t.co/Mu8JwJelmz,0,9493,0,,,,Mon Feb 07 09:12:03 +0000 2022,1490614324305485826
"CEK FAKTA: Tidak Benar Daftar Negara Batalkan Wajib Karantina, Tes Covid dan Vaksin https://t.co/hjViYy83JU",0,376632,0,,,,Mon Feb 07 09:12:03 +0000 2022,1490614324666134531
"🔥 Covid-19: Dünyada koronavirüs 'normalleşme' süreci devam ediyor, seyahat kısıtlamaları kaldırılıyor: Dünyada birç… https://t.co/VCQkSrqWjv",0,7103,0,,,,Mon Feb 07 09:12:04 +0000 2022,1490614325102342145
RT @girl_preston: Do you have any idea what is currently going on in primary schools @nadhimzahawi ? Looking at your last 30 tweets it appe…,0,130,0,,,,Mon Feb 07 09:12:04 +0000 2022,1490614325303820291
"@nonono657891 @lincolnmjay Hahahahhaa. Dream on with that so called majority. Who did you survey, your immediate ci… https://t.co/OzxrtZ14Bb",0,11,0,,,,Mon Feb 07 09:12:04 +0000 2022,1490614325618241536
RT @njoyflyfishing: 7 Day Confirmed Covid Cases per 1K Population by County For DE   2022-02-03:  Covid Insights From Our Analytics Team an…,0,1968,0,,,,Mon Feb 07 09:12:04 +0000 2022,1490614326205497348
"CCOO alerta de que ""continúa en ascenso"" el número de trabajadores del SAS que han cogido baja por Covid

Con el an… https://t.co/55kF9m6e4F",0,2244,0,,,,Mon Feb 07 09:12:04 +0000 2022,1490614326146879488
"RT @drkaanyl: İsrail'in önemli hastanelerinden, Ichilov Hastanesi'nin #coronavirusse servisi sorumlusu Prof. Yaakov Jerris, aşının ciddi ha…",0,137,0,,,,Mon Feb 07 09:12:04 +0000 2022,1490614326339813378
Indonesia bans entry of foreign tourists at Jakarta’s airport over spike in Covid-19 cases https://t.co/SZqKdGje0J,0,50,0,,,,Mon Feb 07 09:12:04 +0000 2022,1490614326557876225
"RT @ZemmourEric: Écoutez bien ! Et rendez-vous compte : en pleine crise du Covid, le gouvernement d’Emmanuel Macron a trouvé le moyen de fa…",0,6,0,,,,Mon Feb 07 09:12:04 +0000 2022,1490614326763347971
"Pemerintah Kabupaten Sidoarjo, Jawa Timur, terus mengantisipasi lonjakan kasus COVID-19 khususnya varian Omicron de… https://t.co/IsUfoS3oqt",0,67,0,,,,Mon Feb 07 09:12:04 +0000 2022,1490614326818123780
"RT @eltorotv: ‼️ El confinamiento de poco o nada sirvió contra el COVID

🎓 ¿Qué dice la Universidad Johns Hopkins? @albavilalage nos lo cue…",0,872,0,,,,Mon Feb 07 09:12:04 +0000 2022,1490614326981541889
"RT @MissisOrwell: ""Ayer el lema innegociable del “oficialismo” era “Vacunar, vacunar y vacunar”, a todos sin excepción. Hoy, sin embargo, y…",0,115,0,,,,Mon Feb 07 09:12:04 +0000 2022,1490614327199645697
@Stahlwerker2 @dg_graeber @DrTedros US State Department officials opposed an investigation too as it would highligh… https://t.co/6Inuysyknp,0,4975,0,,,,Mon Feb 07 09:12:04 +0000 2022,1490614326796775427
RT @TonsTweetings: บอกไม่ได้เลยว่าสุดท้าย การตัดสินใจของเดนมาร์คจะเป็นการตัดสินใจที่ถูกต้องหรือไม่ เพราะแน่นอน WHO เจ้าประจำก็ออกมาดิ้นๆ ว่…,0,124,0,,,,Mon Feb 07 09:12:04 +0000 2022,1490614327572721666
"RT @SteveKunframed: @AHeideigger @Zander_in_Au @chrisluxonmp @NicolaWillisMP @dbseymour Left unchecked, global corporate power merged with…",0,296,0,,,,Mon Feb 07 09:12:04 +0000 2022,1490614327702736896
RT @GANyborg: Is this ⬇️ a result of increased transmission (Covid is known to lead to psychosis &amp; other severe psychiatric symptoms in som…,0,73,0,,,,Mon Feb 07 09:12:04 +0000 2022,1490614327862345728
"RT @PlattformR: https://t.co/ktzqtRyQZw
Eine seltsame Rolle im Wettstreit der Interessen spielt die Bioethik. In Deutschland ebenso wie in…",0,357,0,,,,Mon Feb 07 09:12:04 +0000 2022,1490614328000720897
"RT @backtolife_2019: Livorno, Italy, restaurants require ""covid passports"", empty, streets filled with people dining with their own food an…",0,2536,0,,,,Mon Feb 07 09:12:04 +0000 2022,1490614328697004034
RT @MinDhariwal: Canadian Keegan Messing landed this morning and was on the ice hours later. Adrenaline clearly pumping through his veins!…,0,763,0,,,,Mon Feb 07 09:12:05 +0000 2022,1490614330223521793
How Kickstarter Creators Are Coping with the Coronavirus — Kickstarter CRYPTO CRYPTO NEWS - https://t.co/YKaLreuI9I,0,3504,0,,,,Mon Feb 07 09:12:05 +0000 2022,1490614330366246914
"RT @ThomasA02905471: 14x højere risko for alvorlig covid ved lav D vitamin niveau...!
Kunne vi have reddet liv med vitaminpiller, -især ind…",0,531,0,,,,Mon Feb 07 09:12:05 +0000 2022,1490614331200913409
"RT @rtvandorra: Nous emprenedors tot i la crisi de la #covid19  | Andorra Difusió 

@latrencallibres 
https://t.co/UZ74kLxgMc",0,785,0,,,,Mon Feb 07 09:12:05 +0000 2022,1490614331725295616
Good morning everyone. I'm alive and well. Just done a covid test. I'm waiting on that.. still in London. Man what… https://t.co/u5Of0lfbn1,0,140822,0,,,,Mon Feb 07 09:12:05 +0000 2022,1490614331922386951
"Bangun Huntara Korban Semeru, 26 Mahasiswa Akbara Solo Kena Covid-19 https://t.co/9S4N14VuJR",0,65184,0,,,,Mon Feb 07 09:12:05 +0000 2022,1490614332840808456
RT @manuelrico: Hoy hace 691 días que el Gobierno Ayuso aprobó el Protocolo que impedía trasladar al hospital a los residentes más vulnerab…,0,9538,0,,,,Mon Feb 07 09:12:05 +0000 2022,1490614333050703873
RT @Ying_Med: วันนี้ครบรอบ 2 ปี การจากไปของ คุณหมอหลี่ นายแพทย์ชาวจีน ซึ่งเป็นคนแรกที่ออกมาเตือนอันตรายและการแพร่ระบาดของไวรัสCovid-19 แต่ก…,0,5,0,,,,Mon Feb 07 09:12:06 +0000 2022,1490614333595807744
"RT @atRachelGilmore: Matias is one of the kindest dudes out there. 

He's a pillar of the local music community. His irreplaceable music ve…",0,1605,0,,,,Mon Feb 07 09:12:06 +0000 2022,1490614333499494401
"RT @OpDrBilgehan: ""Ben Covid oldum!. Lütfen yardım!""
Korkma!
Kelle- paça çorbası iç, bol sarımsaklı ve limonlu. İstirahat et, bol bol dizi…",0,174,0,,,,Mon Feb 07 09:12:06 +0000 2022,1490614333776314375
"RT @egavactip: Another person at the Canadian trucker event, with a sign for ""Goyim TV.""  This is a Canadian member of the Goyim Defense Le…",0,11048,0,,,,Mon Feb 07 09:12:06 +0000 2022,1490614334648578051
"RT @rtvandorra: Nous emprenedors tot i la crisi de la #covid19  | Andorra Difusió 

@latrencallibres 
https://t.co/UZ74kLxgMc",0,8784,0,,,,Mon Feb 07 09:12:06 +0000 2022,1490614335156195331
RT @RTARF_PR: กองบัญชาการกองทัพไทย โดย ศูนย์บรรเทาสาธารณภัย หน่วยพัฒนาการเคลื่อนที่ 11 สำนักงานพัฒนาภาค 1 หน่วยบัญชาการทหารพัฒนา ลงพื้นที่ต…,0,20,0,,,,Mon Feb 07 09:12:06 +0000 2022,1490614335949139973
"RT @backtolife_2019: Livorno, Italy, restaurants require ""covid passports"", empty, streets filled with people dining with their own food an…",0,136,0,,,,Mon Feb 07 09:12:06 +0000 2022,1490614336376688641
"RT @Pr_Logos: Il faut le dire clairement: ce quinquennat a été une abomination sarkozo-lepéniste. Liquidation des libertés publiques, destr…",0,1038,0,,,,Mon Feb 07 09:12:06 +0000 2022,1490614336469053442
いよいよおかしなことが判明してきてないか、心配。,0,27,0,,,,Mon Feb 07 09:12:06 +0000 2022,1490614336255102979
RT @MattWalshBlog: Rogan is successful and a freethinker. That’s his crime. That’s why they’re coming for him. Not for anything he said abo…,0,50,0,,,,Mon Feb 07 09:12:07 +0000 2022,1490614338159362048
Covid might still be here but I don't think people care anymore 🤣 seeing everyone without a mask on is so common,0,381,0,,,,Mon Feb 07 09:12:07 +0000 2022,1490614339287621641
Tell me about this as proper treatment for a case of COVID breakthrough. I'm Pfizer x 3 - tested negative three times last week.,0,698,0,,,,Mon Feb 07 09:12:07 +0000 2022,1490614339300114433
"RT @MZampedroni: CRONACA
Capezzone infastidito: “Mi sono preso il Covid nonostante le tre dosi. Green Pass quindi inutile”
6 Feb 2022  Reda…",0,197,0,,,,Mon Feb 07 09:12:07 +0000 2022,1490614340860485636
